"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2002","1,128.40","1,102.50","1,129.40","1,102.50","","2.35%"
"04/15/2002","1,102.50","1,111.00","1,114.90","1,099.40","","-0.77%"
"04/12/2002","1,111.00","1,103.70","1,112.80","1,102.70","","0.66%"
"04/11/2002","1,103.70","1,130.50","1,130.50","1,102.40","","-2.37%"
"04/10/2002","1,130.50","1,119.10","1,131.80","1,118.40","","1.14%"
"04/09/2002","1,117.80","1,125.50","1,128.30","1,116.70","","-0.67%"
"04/08/2002","1,125.30","1,122.70","1,125.40","1,111.80","","0.23%"
"04/05/2002","1,122.70","1,127.70","1,133.30","1,119.50","","-0.32%"
"04/04/2002","1,126.30","1,125.00","1,130.50","1,120.10","","0.08%"
"04/03/2002","1,125.40","1,137.50","1,138.80","1,119.70","","-1.00%"
"04/02/2002","1,136.80","1,143.00","1,143.00","1,135.70","","-0.85%"
"04/01/2002","1,146.50","1,146.00","1,147.80","1,132.90","","-0.08%"
"03/28/2002","1,147.40","1,146.30","1,154.50","1,144.60","","0.24%"
"03/27/2002","1,144.60","1,137.50","1,147.00","1,135.30","","0.54%"
"03/26/2002","1,138.50","1,131.60","1,147.00","1,131.60","","0.58%"
"03/25/2002","1,131.90","1,149.30","1,151.00","1,131.90","","-1.46%"
"03/22/2002","1,148.70","1,153.30","1,156.50","1,144.60","","-0.42%"
"03/21/2002","1,153.60","1,151.50","1,155.10","1,139.90","","0.16%"
"03/20/2002","1,151.80","1,170.20","1,170.20","1,151.60","","-1.58%"
"03/19/2002","1,170.30","1,165.50","1,173.90","1,165.50","","0.41%"
"03/18/2002","1,165.50","1,166.20","1,172.70","1,159.10","","-0.06%"
"03/15/2002","1,166.20","1,153.50","1,166.50","1,153.50","","1.14%"
"03/14/2002","1,153.00","1,154.20","1,157.80","1,151.10","","-0.10%"
"03/13/2002","1,154.10","1,163.00","1,164.30","1,151.00","","-0.99%"
"03/12/2002","1,165.60","1,168.30","1,168.30","1,154.30","","-0.23%"
"03/11/2002","1,168.30","1,164.00","1,173.00","1,159.60","","0.34%"
"03/08/2002","1,164.30","1,161.10","1,172.80","1,159.80","","0.59%"
"03/07/2002","1,157.50","1,164.70","1,167.90","1,150.70","","-0.46%"
"03/06/2002","1,162.80","1,145.90","1,165.30","1,145.10","","1.46%"
"03/05/2002","1,146.10","1,153.00","1,157.70","1,144.80","","-0.67%"
"03/04/2002","1,153.80","1,130.90","1,153.80","1,130.90","","1.94%"
"03/01/2002","1,131.80","1,108.70","1,131.80","1,108.70","","2.27%"
"02/28/2002","1,106.70","1,110.80","1,121.60","1,106.70","","-0.29%"
"02/27/2002","1,109.90","1,111.20","1,123.10","1,102.30","","0.05%"
"02/26/2002","1,109.40","1,110.30","1,115.00","1,101.70","","0.00%"
"02/25/2002","1,109.40","1,090.80","1,112.70","1,089.80","","1.80%"
"02/22/2002","1,089.80","1,078.20","1,093.90","1,074.40","","0.81%"
"02/21/2002","1,081.00","1,094.30","1,101.50","1,080.20","","-1.55%"
"02/20/2002","1,098.00","1,084.70","1,098.30","1,074.40","","1.36%"
"02/19/2002","1,083.30","1,102.20","1,102.20","1,082.20","","-1.89%"
"02/15/2002","1,104.20","1,116.70","1,117.10","1,103.20","","-1.10%"
"02/14/2002","1,116.50","1,118.50","1,124.70","1,112.30","","-0.18%"
"02/13/2002","1,118.50","1,107.50","1,120.60","1,107.50","","0.99%"
"02/12/2002","1,107.50","1,106.20","1,112.70","1,103.00","","-0.40%"
"02/11/2002","1,111.90","1,095.40","1,112.00","1,094.70","","1.43%"
"02/08/2002","1,096.20","1,082.40","1,096.30","1,079.90","","1.48%"
"02/07/2002","1,080.20","1,083.30","1,094.00","1,078.40","","-0.30%"
"02/06/2002","1,083.50","1,091.50","1,093.60","1,077.80","","-0.60%"
"02/05/2002","1,090.00","1,088.70","1,101.00","1,082.60","","-0.40%"
"02/04/2002","1,094.40","1,118.00","1,122.20","1,092.20","","-2.48%"
"02/01/2002","1,122.20","1,127.40","1,130.20","1,118.50","","-0.71%"
"01/31/2002","1,130.20","1,117.80","1,130.20","1,113.30","","1.49%"
"01/30/2002","1,113.60","1,100.20","1,113.80","1,081.70","","1.18%"
"01/29/2002","1,100.60","1,133.80","1,137.50","1,098.70","","-2.87%"
"01/28/2002","1,133.10","1,136.30","1,138.60","1,126.70","","-0.02%"
"01/25/2002","1,133.30","1,129.30","1,138.30","1,127.80","","0.10%"
"01/24/2002","1,132.20","1,133.40","1,139.50","1,128.20","","0.35%"
"01/23/2002","1,128.20","1,122.20","1,131.90","1,117.40","","0.80%"
"01/22/2002","1,119.30","1,135.30","1,135.30","1,117.90","","-0.74%"
"01/18/2002","1,127.60","1,127.50","1,138.90","1,124.50","","-0.99%"
"01/17/2002","1,138.90","1,135.70","1,139.30","1,127.60","","1.00%"
"01/16/2002","1,127.60","1,139.20","1,146.20","1,127.50","","-1.62%"
"01/15/2002","1,146.20","1,140.80","1,148.80","1,136.90","","0.69%"
"01/14/2002","1,138.40","1,143.00","1,145.60","1,138.20","","-0.63%"
"01/11/2002","1,145.60","1,158.50","1,159.40","1,145.50","","-0.94%"
"01/10/2002","1,156.50","1,154.30","1,159.90","1,150.80","","0.12%"
"01/09/2002","1,155.10","1,163.80","1,174.30","1,151.90","","-0.48%"
"01/08/2002","1,160.70","1,165.30","1,167.60","1,157.50","","-0.36%"
"01/07/2002","1,164.90","1,174.70","1,177.00","1,163.50","","-0.65%"
"01/04/2002","1,172.50","1,171.10","1,176.50","1,163.40","","0.62%"
"01/03/2002","1,165.30","1,155.50","1,165.30","1,154.00","","0.92%"
"01/02/2002","1,154.70","1,149.00","1,154.70","1,136.20","","0.57%"
"12/31/2001","1,148.10","1,158.30","1,161.20","1,148.00","","-1.11%"
"12/28/2001","1,161.00","1,157.10","1,164.60","1,157.10","","0.34%"
"12/27/2001","1,157.10","1,149.40","1,157.10","1,149.40","","0.67%"
"12/26/2001","1,149.40","1,144.70","1,159.20","1,144.70","","0.41%"
"12/24/2001","1,144.70","1,145.00","1,147.80","1,144.60","","-0.02%"
"12/21/2001","1,144.90","1,139.90","1,147.80","1,139.90","","0.44%"
"12/20/2001","1,139.90","1,148.90","1,151.40","1,139.90","","-0.84%"
"12/19/2001","1,149.60","1,136.30","1,152.40","1,134.80","","0.59%"
"12/18/2001","1,142.90","1,134.40","1,145.10","1,134.40","","0.75%"
"12/17/2001","1,134.40","1,123.10","1,137.40","1,122.30","","1.01%"
