"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2008","899.20","902.30","936.40","839.80","","-1.18%"
"10/09/2008","909.90","988.40","1,005.20","909.20","","-7.61%"
"10/08/2008","984.90","988.90","1,021.10","971.00","","-1.13%"
"10/07/2008","996.20","1,057.60","1,072.90","996.20","","-5.74%"
"10/06/2008","1,056.90","1,097.60","1,097.60","1,008.00","","-3.85%"
"10/03/2008","1,099.20","1,115.20","1,153.80","1,098.10","","-1.36%"
"10/02/2008","1,114.30","1,160.60","1,160.60","1,111.40","","-4.03%"
"10/01/2008","1,161.10","1,164.20","1,167.00","1,140.80","","-0.45%"
"09/30/2008","1,166.40","1,113.80","1,168.00","1,113.80","","5.42%"
"09/29/2008","1,106.40","1,209.10","1,209.10","1,106.40","","-8.79%"
"09/26/2008","1,213.00","1,204.50","1,215.80","1,187.50","","0.31%"
"09/25/2008","1,209.20","1,187.90","1,220.00","1,187.90","","1.96%"
"09/24/2008","1,185.90","1,188.80","1,197.40","1,179.80","","-0.19%"
"09/23/2008","1,188.20","1,207.60","1,221.20","1,187.10","","-1.57%"
"09/22/2008","1,207.10","1,255.40","1,255.40","1,205.60","","-3.82%"
"09/19/2008","1,255.10","1,213.10","1,265.10","1,213.10","","4.03%"
"09/18/2008","1,206.50","1,157.10","1,211.10","1,133.50","","4.33%"
"09/17/2008","1,156.40","1,210.30","1,210.30","1,155.90","","-4.71%"
"09/16/2008","1,213.60","1,188.30","1,214.80","1,169.30","","1.75%"
"09/15/2008","1,192.70","1,250.90","1,250.90","1,192.70","","-4.71%"
"09/12/2008","1,251.70","1,245.90","1,255.10","1,233.80","","0.22%"
"09/11/2008","1,249.00","1,229.00","1,250.00","1,211.50","","1.38%"
"09/10/2008","1,232.00","1,227.50","1,243.90","1,221.60","","0.61%"
"09/09/2008","1,224.50","1,268.00","1,268.70","1,224.50","","-3.42%"
"09/08/2008","1,267.80","1,249.50","1,274.40","1,247.10","","2.05%"
"09/05/2008","1,242.30","1,233.20","1,244.90","1,217.20","","0.44%"
"09/04/2008","1,236.80","1,271.80","1,271.80","1,232.80","","-3.00%"
"09/03/2008","1,275.00","1,276.60","1,280.60","1,265.60","","-0.20%"
"09/02/2008","1,277.60","1,287.80","1,303.00","1,272.20","","-0.41%"
"08/29/2008","1,282.80","1,296.50","1,297.60","1,282.70","","-1.38%"
